uuid,pgviews
1647,2
787,1
1640,1
1729,1
1726,1
1835,1
788,1
789,1
579,1
65,1
67,1
252,1
253,1
256,1
154,1
1421,1
1420,1
1422,1
1580,1
1163,2
1586,1
1587,1
1039,1
737,1
1204,7
739,3
1030,1
500,2
501,2
1358,11
634,1
468,2
636,6
1215,5
638,3
464,5
467,2
466,1
461,1
460,1
1169,1
1861,5
1860,1
1646,1
169,1
1378,1
164,2
167,2
161,1
162,1
163,1
965,1
961,1
963,1
968,3
1454,4
1455,1
1105,1
1102,1
935,1
1452,1
1453,4
1515,1
1514,3
1459,1
1108,3
1109,1
1840,1
1722,5
1159,1
1817,1
1810,1
1811,2
878,1
879,3
874,1
872,8
871,2
9,8
890,1
893,3
894,1
1247,3
1151,8
1530,2
1248,1
1609,1
1608,1
1978,3
1601,1
1603,1
1602,1
356,5
353,2
352,2
801,1
44,1
217,3
214,1
211,5
762,2
1849,1
1783,1
766,1
767,1
764,1
219,1
1775,1
1568,1
1776,1
1771,1
1569,3
1891,5
1074,3
1072,1
1073,1
1071,1
288,1
4,1
1443,1
1676,1
1671,1
287,1
1442,1
1094,1
1095,1
678,1
679,1
674,5
1154,1
676,7
1440,6
670,1
1153,1
1152,1
1292,1
266,1
1550,1
1552,1
59,4
58,5
55,9
1559,1
57,1
51,1
1418,1
536,1
535,1
534,1
1566,1
539,1
538,1
1320,1
200,2
1328,1
1329,1
985,1
115,1
68,1
116,1
205,1
118,4
1531,1
1419,5
1256,1
1252,1
1521,5
1250,1
915,1
1395,1
1394,3
1393,2
424,1
427,1
426,1
303,10
305,1
1933,1
1931,1
1936,4
843,3
840,1
848,1
1209,1
1484,1
1208,2
1630,1
1738,3
1634,1
1638,1
1735,1
1734,1
1737,11
732,1
569,1
750,1
756,1
758,2
564,1
506,8
1763,2
1591,1
1590,1
227,1
222,3
1046,1
1024,1
1026,1
1020,1
1023,3
1022,1
1186,10
1187,3
1184,1
1185,1
1029,1
1028,6
726,1
727,1
723,2
720,1
1747,6
728,3
151,2
606,1
601,1
600,3
1162,1
156,1
158,1
1207,1
1206,1
608,1
1489,1
958,1
951,1
953,4
42,2
43,1
957,1
1111,2
1110,1
1298,1
1444,1
5,2
1114,3
1116,1
1119,1
1290,3
1291,1
1296,5
1565,1
1294,3
1448,1
1859,1
488,6
486,5
485,2
1354,2
482,1
480,1
1806,3
1805,1
1801,1
1563,4
472,1
473,1
471,1
1362,1
477,3
1360,1
475,2
478,1
1368,5
