uuid,pgviews
1979,4
1977,2
1600,1
1973,3
1606,1
357,1
809,1
808,1
351,6
350,1
807,3
806,1
804,2
216,1
768,1
212,3
213,2
210,1
1236,2
763,2
760,1
1786,2
765,5
1773,1
1770,1
1078,13
1079,2
1077,1
1779,1
1070,1
1678,2
1679,1
280,1
282,5
285,4
284,13
1096,5
1097,1
1090,4
1091,3
1155,3
675,3
1157,1
677,1
1098,1
671,6
673,9
263,2
260,1
267,1
265,7
269,3
268,1
1082,7
1553,7
1980,1
1557,1
54,1
50,1
537,4
63,2
533,9
531,7
530,8
1410,4
1411,2
1412,6
1414,1
1416,10
201,1
989,12
1324,1
1558,7
982,2
986,6
203,1
984,2
950,2
117,1
1480,1
113,1
1853,1
429,1
428,2
1255,1
1520,3
1253,7
1398,3
1396,1
423,1
422,1
911,4
910,5
913,1
309,4
301,19
302,1
306,3
307,1
1932,3
1930,1
1934,2
1939,1
847,10
845,1
844,5
842,9
841,1
849,1
1582,3
1841,4
1249,3
1323,3
1346,1
1987,2
1632,2
1633,1
1635,1
1636,1
1637,10
1731,3
1730,6
1733,1
1732,6
1038,4
1736,1
1781,2
1166,1
753,5
752,4
751,1
757,4
560,3
561,1
759,9
563,10
566,1
567,1
1597,1
1596,1
229,1
1593,4
226,1
224,1
223,1
221,1
220,1
1025,10
1027,13
1021,7
1188,1
1189,2
1036,1
1800,1
1183,1
724,9
390,1
722,1
1746,1
1167,7
1742,3
729,2
1164,1
604,5
153,1
152,1
1161,1
603,11
1213,1
159,2
1168,1
1200,1
1202,1
1899,1
1894,3
1895,1
1896,1
1893,1
959,7
1488,1
48,1
46,3
47,4
952,4
955,7
1447,1
1446,1
1113,1
1299,6
1117,1
1352,2
1118,1
1562,3
1297,1
1295,1
1350,2
1712,1
1355,1
1441,1
481,4
1716,5
1807,1
509,1
1804,2
1527,3
1201,5
1714,1
1809,1
1808,1
1366,2
1364,1
476,1
1369,5
